system:index,baseline_year,city,delta_LST,delta_max_LST,delta_top10_LST,final_year,max_LST_2000,max_LST_2020,mean_LST_2000,mean_LST_2020,n_images_2000,n_images_2020,n_pixels,sensor_2000,sensor_2020,top10_LST_2000,top10_LST_2020,transition,transition_area_pct,transition_code,.geo,error
00000000000000000012_1,2000.0,Karachi Division,-6.910945177904239,-2.648452874482814,-2.7299439919511315,2020.0,314.8916146263452,312.2431617518624,312.0227000784221,305.11175490051784,24.0,24.0,84823.0,L5,L8,314.8914257152729,312.16148172332174,veg→crop,1.7903000071128243,203.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_2,2000.0,Karachi Division,-7.643265040460392,-7.226398448995781,-7.264353774268898,2020.0,315.53600769653696,308.3096092475412,311.0584497373082,303.4151846968478,24.0,24.0,19199.0,L5,L8,315.53598297372787,308.27162919945897,veg→wat,0.4052199266302668,204.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_3,2000.0,Karachi Division,-4.091901344269502,-1.7914447966818443,-1.8371265464371616,2020.0,315.0625730344732,313.27112823779134,310.7990961449702,306.7071948007007,24.0,24.0,91119.0,L5,L8,315.0587503262392,313.22162377980203,veg→bare,1.92318529582912,205.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_4,2000.0,Karachi Division,-5.971611872969049,-0.9766809469816736,-0.9777987896667356,2020.0,311.2459626623099,310.26928171532825,309.97761152437397,304.0059996514049,24.0,24.0,5207.0,L5,L8,311.2459626623099,310.2681638726432,crop→imp,0.1099005238795665,301.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_5,2000.0,Karachi Division,-6.295746424138599,-1.2262062094976611,-1.251290443684752,2020.0,313.66247720789704,312.4362709983994,311.34700086147467,305.05125443733607,24.0,24.0,11886.0,L5,L8,313.66239296195494,312.4111025182702,crop→veg,0.2508695269507448,302.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_6,2000.0,Karachi Division,-8.96235636977076,-9.974105408102616,-10.018278914503696,2020.0,316.26836338748967,306.29425797938706,310.7024447658222,301.7400883960514,24.0,24.0,724.0,L5,L8,316.26836338748967,306.250084472986,crop→wat,0.015280963950222,304.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_7,2000.0,Karachi Division,-5.087262345043939,-3.7420663925958024,-3.769406022019325,2020.0,316.5265810239572,312.7845146313614,311.35152054451515,306.2642581994712,24.0,24.0,1039.0,L5,L8,316.5258805148753,312.756474492856,crop→bare,0.0219294496467965,305.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_8,2000.0,Karachi Division,1.5836482814262354,6.381587794147549,6.381587794147549,2020.0,304.6167980367981,310.99838583094567,303.6741086816648,305.257756963091,24.0,24.0,2049.0,L5,L8,304.6167980367981,310.99838583094567,wat→imp,0.0432468164834322,401.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_9,2000.0,Karachi Division,-1.212229989301136,2.4858131536437327,2.4856624151623237,2020.0,305.2643382009757,307.75015135461945,303.5717261063587,302.3594961170576,24.0,24.0,4818.0,L5,L8,305.2643382009757,307.75000061613804,wat→veg,0.101690171701892,402.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_10,2000.0,Karachi Division,-4.362439282312948,-2.942978070292668,-2.9435474577064156,2020.0,310.3451598652527,307.40218179496003,306.2203573375389,301.857918055226,24.0,24.0,80.0,L5,L8,310.3451598652527,307.4016124075463,wat→crop,0.0016885043038919,403.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_11,2000.0,Karachi Division,4.192882330663622,10.007967479833042,10.007967479833042,2020.0,303.83008267034216,313.8380501501752,302.43041333135875,306.6232956620224,24.0,24.0,9775.0,L5,L8,303.83008267034216,313.8380501501752,wat→bare,0.2063141196317963,405.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_12,2000.0,Karachi Division,-5.132964559600168,-0.5733616848021938,-0.5848966360521786,2020.0,313.79851429319393,313.22515260839174,311.3826083819093,306.2496438223091,24.0,24.0,142708.0,L5,L8,313.7984879442168,313.2135913081646,bare→imp,3.0120384024976357,501.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_13,2000.0,Karachi Division,-5.769629670944653,-0.5543624785432826,-0.5944953783900928,2020.0,315.02570738848357,314.4713449099403,312.1308642554726,306.36123458452795,24.0,24.0,572224.0,L5,L8,315.02561802704565,314.43112264865556,bare→veg,12.077533584878262,502.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_14,2000.0,Karachi Division,-6.761131903945341,-2.686570120880333,-2.751116644680394,2020.0,316.0128904516938,313.3263203308135,312.5181075289417,305.75697562499636,24.0,24.0,34279.0,L5,L8,316.01249969266604,313.26138304798565,bare→crop,0.7235029879138972,503.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_15,2000.0,Karachi Division,-6.637503240572016,-5.483989769993684,-5.490388373599785,2020.0,315.43359298076285,309.94960321076917,310.89452151072817,304.25701827015615,24.0,24.0,18734.0,L5,L8,315.4334842028508,309.94309582925104,bare→wat,0.3954054953638948,504.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_16,2000.0,Karachi Division,-3.9915464239243192,0.7838683547527125,0.7781347905472558,2020.0,311.56705930100026,312.35092765575297,309.7813598006548,305.7898133767305,24.0,24.0,495050.0,L5,L8,311.5670520677006,312.34518685824787,imp→imp,10.448675695521306,101.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_17,2000.0,Karachi Division,-5.665968886738199,-1.4892605271068078,-1.5485819621620749,2020.0,314.34576861040887,312.85650808330206,311.3680657640771,305.7020968773389,24.0,24.0,761520.0,L5,L8,314.3454644540785,312.79688249191645,veg→veg,16.072872468747367,202.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_18,2000.0,Karachi Division,-7.0127430936991,-2.783419407768463,-2.8134033330805437,2020.0,313.2334317615691,310.4500123538006,310.9692087430251,303.956465649326,24.0,24.0,44730.0,L5,L8,313.233337281812,310.41993394873145,crop→crop,0.9440849689135804,303.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_19,2000.0,Karachi Division,-0.5272736215538885,2.219961851631865,2.2199535653788303,2020.0,304.69913821807864,306.9191000697105,302.77152739235714,302.24425377080325,24.0,24.0,38538.0,L5,L8,304.69913821807864,306.9190917834575,wat→wat,0.8133947357923443,404.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000012_20,2000.0,Karachi Division,-4.225315448942695,-2.4736910473205285,-2.524258295403911,2020.0,315.27754156031045,312.8038505129899,310.7030469827987,306.477731533856,24.0,24.0,2239512.0,L5,L8,315.27506673058963,312.7508084351857,bare→bare,47.26782063272055,505.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_0,2000.0,Baghdad,5.812983395273079,6.402006389583221,5.55040808741137,2020.0,326.094517290776,332.49652368035925,320.23230270027614,326.0452860955492,11.0,12.0,138581.0,L5,L8,325.81213206436087,331.36254015177224,veg→imp,12.076849270540214,201.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_1,2000.0,Baghdad,7.007299269992245,7.8578135867430206,7.018840454350141,2020.0,325.05766478989585,332.9154783766389,319.3080180751963,326.31531734518853,11.0,12.0,25021.0,L5,L8,324.7270134507935,331.74585390514363,veg→crop,2.180492604312183,203.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_2,2000.0,Baghdad,-4.836094656597027,-5.504573254734851,-6.082693361152224,2020.0,325.39290844584826,319.8883351911134,319.6933135768309,314.8572189202339,11.0,12.0,3641.0,L5,L8,325.20426627066195,319.1215729095097,veg→wat,0.3173004105471667,204.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_3,2000.0,Baghdad,6.590983860237202,7.2059084927101935,6.177973539630216,2020.0,330.0874863387864,337.2933948314966,323.40064536878305,329.99162922902025,11.0,12.0,40072.0,L5,L8,329.7552713159399,335.93324485557014,veg→bare,3.4921345925421767,205.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_4,2000.0,Baghdad,7.080560884565102,7.428154654310845,6.672744925585107,2020.0,325.21045204407415,332.638606698385,319.1047555089954,326.1853163935605,11.0,12.0,27459.0,L5,L8,324.86519963512967,331.5379445607148,crop→imp,2.392955774022151,301.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_5,2000.0,Baghdad,7.809871726810456,8.631768236487517,7.657127739360874,2020.0,324.76544400543105,333.39721224191857,318.7776478018931,326.5875195287036,11.0,12.0,29705.0,L5,L8,324.4702921820662,332.1274199214271,crop→veg,2.5886868155187,302.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_6,2000.0,Baghdad,-4.339177083265838,-4.4654366189311645,-5.028923548535431,2020.0,323.4077532422392,318.94231662330805,318.26467546911795,313.9254983858521,11.0,12.0,749.0,L5,L8,323.21921782064385,318.1902942721084,crop→wat,0.0652727293325536,304.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_7,2000.0,Baghdad,7.71185138358652,8.227719984163741,7.287601870130061,2020.0,328.2608921147446,336.48861209890833,321.5322728534617,329.2441242370482,11.0,12.0,6648.0,L5,L8,327.7874934114101,335.07509528154014,crop→bare,0.5793499393896084,305.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_8,2000.0,Baghdad,7.32364621429366,7.9979354175022195,7.185521369282242,2020.0,319.7091174346129,327.7070528521151,314.40024453049966,321.7238907447933,11.0,12.0,1985.0,L5,L8,319.42522144872,326.6107428180022,wat→imp,0.1729858047064339,401.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_9,2000.0,Baghdad,8.833747609124941,10.140513741936786,9.119733996002424,2020.0,317.7745886967612,327.915102438698,313.0683091891837,321.90205679830865,11.0,12.0,1156.0,L5,L8,317.58116991175905,326.7009039077615,wat→veg,0.100741355284956,402.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_10,2000.0,Baghdad,6.104761684039886,6.9788950565204,6.582944988288887,2020.0,316.0421968902625,323.0210919467829,311.54171862855026,317.64648031259014,11.0,12.0,492.0,L5,L8,315.7805504224292,322.3634954107181,wat→crop,0.0428760785468843,403.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_11,2000.0,Baghdad,13.012987348345176,15.067533461908738,13.749670204909194,2020.0,319.55122030935064,334.6187537712594,314.36916380328876,327.38215115163393,11.0,12.0,1264.0,L5,L8,319.399994594973,333.1496647998822,wat→bare,0.1101531774050037,405.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_12,2000.0,Baghdad,4.262954647767003,4.5227377877174035,3.843779894904287,2020.0,328.468800336117,332.9915381238344,322.31581249541955,326.57876714318655,11.0,12.0,57318.0,L5,L8,328.1284673362379,331.9722472311422,bare→imp,4.99506315071203,501.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_13,2000.0,Baghdad,5.199997346829264,5.5079981123801645,4.598497476318698,2020.0,328.05098051976836,333.5589786321485,321.6695182834065,326.86951563023575,11.0,12.0,2069.0,L5,L8,327.6982804429556,332.2967779192743,bare→veg,0.1803061107998044,502.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_14,2000.0,Baghdad,5.534597750828311,5.499203133623041,4.813221725245171,2020.0,331.6738887579446,337.17309189156765,324.64076590235953,330.17536365318784,11.0,12.0,1004.0,L5,L8,331.23992411380164,336.0531458390468,bare→crop,0.0874950871159998,503.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_15,2000.0,Baghdad,-5.67693124972152,-6.2489095427634425,-6.614041644235499,2020.0,324.8547444530395,318.60583491027603,319.2375387794272,313.5606075297057,11.0,12.0,1882.0,L5,L8,324.5443106441927,317.9302689999572,bare→wat,0.1640097150919439,504.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_16,2000.0,Baghdad,6.0114194733724275,7.128549060901662,6.1379546846567905,2020.0,325.51375711477704,332.6423061756787,320.1213349366279,326.1327544100003,11.0,12.0,499567.0,L5,L8,325.3422708726938,331.4802255573506,imp→imp,43.535516120795506,101.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_17,2000.0,Baghdad,6.6433345322423065,7.533457091051844,6.557962184493022,2020.0,324.99559654526144,332.5290536363133,319.3289466426129,325.9722811748552,11.0,12.0,178095.0,L5,L8,324.74129571658784,331.29925790108086,veg→veg,15.520356115462144,202.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_18,2000.0,Baghdad,6.707307000043045,7.071082810295252,6.223679801037633,2020.0,324.89433616841353,331.9654189787088,318.7462862803572,325.45359328040024,11.0,12.0,64745.0,L5,L8,324.5446619974257,330.7683417984633,crop→crop,5.642300214467539,303.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
