system:index,LC_class,LC_percent,city,max_LST,mean_LST,mean_top10_LST,n_images,sensor,year,.geo
00000000000000000057_0,1,22.732049509416967,Dili,314.98560398080457,310.2104837571109,314.98560398080457,12,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_1,2,66.05841179350463,Dili,313.08032549965515,307.4253202613951,313.08032549965515,12,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_2,3,10.383088198856605,Dili,318.27522931056643,310.55928030764164,318.27522931056643,12,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_3,4,0.7008025508658206,Dili,312.6273221419137,308.34458856928285,312.6273221419137,12,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_4,5,0.1256479473559761,Dili,311.77960701461734,307.6029903621256,311.77960701461734,12,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,1,29.670431017485736,Phnom Penh,308.1424003285628,307.85222494321215,308.1424003285628,2,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_1,2,13.953856272103396,Phnom Penh,306.1769225285898,305.20142413090565,306.1769225285898,2,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_2,3,44.1688818485156,Phnom Penh,306.37225553563866,306.0602778322462,306.37225553563866,2,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_3,4,12.162559632119022,Phnom Penh,303.19727572619274,302.67957733283856,303.19727572619274,2,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_4,5,0.044271229776248,Phnom Penh,305.0364187489579,304.9150340217775,305.0364187489579,2,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,1,96.7434988812449,Paris,309.49590792489437,305.38663382850615,309.49590792489437,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_1,2,2.630512358600496,Paris,300.7777773458342,297.86181859488465,300.7777773458342,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_2,3,0.0710752587223478,Paris,306.80756163818313,301.75612597673046,306.80756163818313,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_3,4,0.5529225978265881,Paris,302.78816572431396,299.414623761025,302.78816572431396,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
