city,year,own_area_km2,ghsl_urban_centre_area_km2,area_ratio,perimeter_area_ratio,reliable
Special capital Region of Jakarta,2020,1027.1688330614202,3179.5738155,0.3230523625695081,5.400872384621,true
New York,2000,1017.8598974155656,2649.72285125,0.38413824937781427,5.1518492689390545,true
New York,2005,1017.8598974155656,2670.8887565,0.381094081488214,5.1518492689390545,true
New York,2010,1017.8598974155656,2749.4183495,0.3702091744607255,5.1518492689390545,true
New York,2015,1017.8598974155656,2797.9550595,0.3637870786950592,5.1518492689390545,true
New York,2020,1017.8598974155656,2788.90809875,0.3649671704391315,5.1518492689390545,true
Mumbai,2000,388.55776953419524,439.89405775,0.8832985185606209,5.705088820952304,true
Mumbai,2005,388.55776953419524,451.16522475,0.8612316468972163,5.705088820952304,true
Mumbai,2010,388.55776953419524,522.5827115,0.7435335325558226,5.705088820952304,true
Mumbai,2015,388.55776953419524,541.3904445,0.7177034125399959,5.705088820952304,true
Mumbai,2020,388.55776953419524,548.91187775,0.7078691230492238,5.705088820952304,true
Karachi Division,2000,3848.225056663546,578.04432375,6.657318303376119,6.108114535800952,true
Karachi Division,2005,3848.225056663546,617.7657095,6.229262967311957,6.108114535800952,true
Karachi Division,2010,3848.225056663546,653.8898495,5.885127379796628,6.108114535800952,true
Karachi Division,2015,3848.225056663546,686.39979825,5.60639013367243,6.108114535800952,true
Karachi Division,2020,3848.225056663546,715.29657675,5.37990140278348,6.108114535800952,true
Baghdad,2000,861.6850758017695,483.32065125,1.7828434882168083,5.390488539845737,true
Baghdad,2005,861.6850758017695,499.9670245,1.7234838170847595,5.390488539845737,true
Baghdad,2010,861.6850758017695,513.3061285,1.6786962554291216,5.390488539845737,true
Baghdad,2015,861.6850758017695,563.3316265,1.5296231123316304,5.390488539845737,true
Baghdad,2020,861.6850758017695,590.00981675,1.4604588793933309,5.390488539845737,true
Manila,2000,61.01146881244257,1550.93371775,0.039338540463840256,4.630787536752201,true
Manila,2005,61.01146881244257,1858.43340725,0.03282951574935566,4.630787536752201,true
Manila,2010,61.01146881244257,2000.94757625,0.030491287996052798,4.630787536752201,true
Manila,2015,61.01146881244257,2147.08769825,0.02841591839130299,4.630787536752201,true
Manila,2020,61.01146881244257,2162.48749475,0.0282135591352846,4.630787536752201,true
Toronto,2000,665.9176984928405,1335.3178575,0.49869601814475883,4.879203630970668,true
Toronto,2005,665.9176984928405,1361.35039425,0.48915966183688536,4.879203630970668,true
Toronto,2010,665.9176984928405,1465.66395875,0.45434541425223574,4.879203630970668,true
Toronto,2015,665.9176984928405,1468.546213,0.4534536895045879,4.879203630970668,true
Toronto,2020,665.9176984928405,1483.01814825,0.4490286914415988,4.879203630970668,true
San Francisco,2000,210.5266075354415,205.34803875,1.0252184964461537,6.599843698297121,true
San Francisco,2005,210.5266075354415,205.34803875,1.0252184964461537,6.599843698297121,true
San Francisco,2010,210.5266075354415,205.34803875,1.0252184964461537,6.599843698297121,true
San Francisco,2015,210.5266075354415,205.34803875,1.0252184964461537,6.599843698297121,true
San Francisco,2020,210.5266075354415,205.34803875,1.0252184964461537,6.599843698297121,true
City of Georgetown,2000,37.0880022063266,3.94586775,9.3992005196643,4.467381244726265,false
City of Georgetown,2005,37.0880022063266,3.94586775,9.3992005196643,4.467381244726265,false
City of Georgetown,2010,37.0880022063266,27.62179275,1.342708003857809,4.467381244726265,true
City of Georgetown,2015,37.0880022063266,27.62179275,1.342708003857809,4.467381244726265,true
City of Georgetown,2020,37.0880022063266,27.62179275,1.342708003857809,4.467381244726265,true
Bandung City,2000,167.35174351421958,635.13346725,0.2634906710849594,6.985244528965659,true
Bandung City,2005,167.35174351421958,694.30954475,0.24103333272550345,6.985244528965659,true
Bandung City,2010,167.35174351421958,725.868747,0.2305537250444805,6.985244528965659,true
Bandung City,2015,167.35174351421958,875.743485,0.19109676107292947,6.985244528965659,true
Bandung City,2020,167.35174351421958,887.58051075,0.1885482403988438,6.985244528965659,true
Surabaya,2000,337.09503627680374,677.9015485,0.4972625258382984,7.1755844885488465,true
Surabaya,2005,337.09503627680374,930.04721825,0.36244937854993015,7.1755844885488465,true
Surabaya,2010,337.09503627680374,1115.2546085,0.3022583665717296,7.1755844885488465,true
Surabaya,2015,337.09503627680374,1138.89593,0.2959840556079639,7.1755844885488465,true
Surabaya,2020,337.09503627680374,1138.89593,0.2959840556079639,7.1755844885488465,true
City of Medan,2000,283.91032213848814,341.0457595,0.8324698789825832,10.937715239307165,true
